HEADER[~&~	~&~UNIV_DT::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'200708220000000000'~&~	~&~'683D47188F9489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708230000000000'~&~	~&~'683D47188F9589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708240000000000'~&~	~&~'683D47188F9689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708250000000000'~&~	~&~'683D47188F9789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708260000000000'~&~	~&~'683D47188F9889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708270000000000'~&~	~&~'683D47188F9989DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708280000000000'~&~	~&~'683D47188F9A89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708290000000000'~&~	~&~'683D47188F9B89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708300000000000'~&~	~&~'683D47188F9C89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200708310000000000'~&~	~&~'683D47188F9D89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'02'~&~	~&~]RECORD
RECORD[~&~	~&~'200709010000000000'~&~	~&~'683D47188F9E89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709020000000000'~&~	~&~'683D47188F9F89DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709030000000000'~&~	~&~'683D47188FA089DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709040000000000'~&~	~&~'683D47188FA189DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709050000000000'~&~	~&~'683D47188FA289DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709060000000000'~&~	~&~'683D47188FA389DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709070000000000'~&~	~&~'683D47188FA489DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709080000000000'~&~	~&~'683D47188FA589DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709090000000000'~&~	~&~'683D47188FA689DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709100000000000'~&~	~&~'683D47188FA789DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
RECORD[~&~	~&~'200709110000000000'~&~	~&~'683D47188FA889DBE0404F8189D81447'~&~	~&~'1'~&~	~&~'2008'~&~	~&~'03'~&~	~&~]RECORD
