HEADER[~&~	~&~PUR_COMM_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PUR_COMM_DESC::VARCHAR~&~	~&~PUR_SALES_TAX_IND::VARCHAR~&~	~&~ITM_RSTRC_IND::VARCHAR~&~	~&~SNSTV_DTA_CD::VARCHAR~&~	~&~DOBJ_MAINT_CD_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'812922'~&~	~&~'486D3478906CC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'One-Hour Photofinishing'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81293'~&~	~&~'486D34788BDEC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Parking Lots and Garages'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812930'~&~	~&~'486D3478906DC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Parking Lots and Garages'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81299'~&~	~&~'486D34788BDFC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'All Other Personal Services'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'812990'~&~	~&~'486D3478906EC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'All Other Personal Services'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813'~&~	~&~'486D347887F4C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Religious, Grantmaking, Civic, Professional, and Similar Organizations'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8131'~&~	~&~'486D34788929C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Religious Organizations'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81311'~&~	~&~'486D34788BE0C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Religious Organizations'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813110'~&~	~&~'486D3478906FC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Religious Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8132'~&~	~&~'486D3478892AC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Grantmaking and Giving Services'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81321'~&~	~&~'486D34788BE1C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Grantmaking and Giving Services'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813211'~&~	~&~'486D34789070C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Grantmaking Foundations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813212'~&~	~&~'486D34789071C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Voluntary Health Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813219'~&~	~&~'486D34789072C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Grantmaking and Giving Services'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8133'~&~	~&~'486D3478892BC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Social Advocacy Organizations'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81331'~&~	~&~'486D34788BE2C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Social Advocacy Organizations'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813311'~&~	~&~'486D34789073C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Human Rights Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813312'~&~	~&~'486D34789074C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Environment, Conservation and Wildlife Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813319'~&~	~&~'486D34789075C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Other Social Advocacy Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8134'~&~	~&~'486D3478892CC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Civic and Social Organizations'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81341'~&~	~&~'486D34788BE3C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Civic and Social Organizations'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813410'~&~	~&~'486D34789076C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Civic and Social Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8139'~&~	~&~'486D3478892DC267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Business, Professional, Labor, Political, and Similar Organizations'~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81391'~&~	~&~'486D34788BE4C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Business Associations'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813910'~&~	~&~'486D34789077C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Business Associations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81392'~&~	~&~'486D34788BE5C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Professional Organizations'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813920'~&~	~&~'486D34789078C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Professional Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81393'~&~	~&~'486D34788BE6C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Labor Unions and Similar Labor Organizations'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'813930'~&~	~&~'486D34789079C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Labor Unions and Similar Labor Organizations'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81394'~&~	~&~'486D34788BE7C267E0404F8189D8349E'~&~	~&~'1'~&~	~&~'Political Organizations'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'Y'~&~	~&~]RECORD
