HEADER[~&~	~&~FDOC_NBR::VARCHAR~&~	~&~FDOC_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FDOC_50_CENT_AMT::DECIMAL~&~	~&~FDOC_25_CENT_AMT::DECIMAL~&~	~&~FDOC_10_CENT_AMT::DECIMAL~&~	~&~FDOC_5_CENT_AMT::DECIMAL~&~	~&~FDOC_1_CENT_AMT::DECIMAL~&~	~&~FDOC_OTHR_CENT_AMT::DECIMAL~&~	~&~FDOC_100_CENT_AMT::DECIMAL~&~	~&~CSHR_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AN1215604'~&~	~&~'CD'~&~	~&~'14034DEF1BBB4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN1215604'~&~	~&~'CR'~&~	~&~'14034DEF1BBC4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AN4061504'~&~	~&~'CD'~&~	~&~'14034DEF1FEF4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN4061504'~&~	~&~'CR'~&~	~&~'14034DEF1FF04D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7003604'~&~	~&~'CD'~&~	~&~'14034DEF1FA44D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7003604'~&~	~&~'CR'~&~	~&~'14034DEF1FA54D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7944404'~&~	~&~'CD'~&~	~&~'14034DEF1C3A4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7944404'~&~	~&~'CR'~&~	~&~'14034DEF1C3B4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AO1099604'~&~	~&~'CD'~&~	~&~'14034DEF18FE4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AO1099604'~&~	~&~'CR'~&~	~&~'14034DEF18FF4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AO2705604'~&~	~&~'CD'~&~	~&~'14034DEF1AD84D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AO2705604'~&~	~&~'CR'~&~	~&~'14034DEF1AD94D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.50'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AO4509404'~&~	~&~'CD'~&~	~&~'14034DEF1F984D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.75'~&~	~&~'0.70'~&~	~&~'0.10'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AO4509404'~&~	~&~'CR'~&~	~&~'14034DEF1F994D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'1.75'~&~	~&~'0.70'~&~	~&~'0.10'~&~	~&~'0.10'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AP4586204'~&~	~&~'CD'~&~	~&~'14034DEF1E0D4D8CE043814FD8814D8C'~&~	~&~'1'~&~	~&~NULL~&~	~&~'0.75'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
