HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FS_FUNC_CTRL_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FS_FUNC_ACTIVE_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2018'~&~	~&~'BASEAD'~&~	~&~'3713910e-45d5-4ac9-88d5-b72d46157f06'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'BCACTV'~&~	~&~'b8fef0f6-eed6-4621-bd89-bbcac882d55e'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'BCGENE'~&~	~&~'46458de6-89ae-4648-9cf8-ac88351d3fd4'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'BCUPDT'~&~	~&~'71b9c28f-6a38-4146-b9a7-9bd2fcf404de'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'BSSYNC'~&~	~&~'bf1ded58-51b5-4309-9237-eb1403fd280b'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'CSFUPD'~&~	~&~'55308e50-3202-45f6-b738-8949e58397c2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2018'~&~	~&~'PSSYNC'~&~	~&~'6d577177-0520-4be6-8578-1026b49b03c4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'BAACTV'~&~	~&~'2868816f-2ce6-4ad8-a56f-a64af8296c5c'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'BASEAD'~&~	~&~'2babc810-c455-4a51-b57b-14575476b62a'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'BCACTV'~&~	~&~'8ab5badb-e9bf-4bd6-bc17-01d8f182e79b'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'BCGENE'~&~	~&~'05eb81f1-b7ad-4356-9d70-e7123adb2c96'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'BCUPDT'~&~	~&~'aaa17df0-4fed-4a4a-9ee7-9f4195b17a66'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'BSSYNC'~&~	~&~'a15b8605-fcc6-4112-8934-94c2e39fcef2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'CSFUPD'~&~	~&~'0f8b2971-780c-40cf-9e2f-d104c2a28b6a'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2019'~&~	~&~'PSSYNC'~&~	~&~'f44c2da6-d8ed-49e3-bf7c-dd61f21e410d'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'BAACTV'~&~	~&~'08bcfd65-244d-486e-8e11-0b660fc1ed5a'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'BASEAD'~&~	~&~'2e804858-c3e1-4270-a2d0-e70b7158ad4c'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'BCACTV'~&~	~&~'8e8d56d4-75e8-45b8-9c7b-cc1872868c55'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'BCGENE'~&~	~&~'ea1c27e9-44f0-4e05-9cf9-03f09617ae20'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'BCUPDT'~&~	~&~'d79e3298-08d0-48aa-b826-7037f9d18177'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'BSSYNC'~&~	~&~'8a0d9fc3-8228-4489-996f-79009abd9de6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'CSFUPD'~&~	~&~'b2e35a58-279c-434a-99dd-a4da233128aa'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2020'~&~	~&~'PSSYNC'~&~	~&~'699bfd83-acff-4930-9e1d-0dde60bcb0db'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'BAACTV'~&~	~&~'3b69744a-d6cb-406d-b7ae-d2a38d7c972e'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'BASEAD'~&~	~&~'e4c591fa-97cb-4844-be77-d09f9f181f0d'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'BCACTV'~&~	~&~'daeeace0-02ca-4bee-921a-6d8e44155615'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'BCGENE'~&~	~&~'96de1155-b7bb-4144-af3d-fc8d90ec03b7'~&~	~&~'2'~&~	~&~'N'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'BCUPDT'~&~	~&~'9493de94-c44f-4e17-847b-74f17bfc8c67'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'BSSYNC'~&~	~&~'c8d9ffd8-c5ad-4483-869c-667c3db86dbd'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'CSFUPD'~&~	~&~'e0fc2c3d-39c8-49b2-92f4-025204dff8e8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2021'~&~	~&~'PSSYNC'~&~	~&~'dc7ae7c6-ec9e-4cb9-8cf7-b830e869dda7'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
