HEADER[~&~	~&~FDOC_NBR::VARCHAR~&~	~&~FDOC_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FDOC_100_DLR_AMT::DECIMAL~&~	~&~FDOC_50_DLR_AMT::DECIMAL~&~	~&~FDOC_20_DLR_AMT::DECIMAL~&~	~&~FDOC_10_DLR_AMT::DECIMAL~&~	~&~FDOC_5_DLR_AMT::DECIMAL~&~	~&~FDOC_2_DLR_AMT::DECIMAL~&~	~&~FDOC_1_DLR_AMT::DECIMAL~&~	~&~FDOC_OTHR_DLR_AMT::DECIMAL~&~	~&~CSHR_STAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'AL6785004'~&~	~&~'CD'~&~	~&~'13EDF610138C4072E043814FD8814072'~&~	~&~'1'~&~	~&~'100.00'~&~	~&~NULL~&~	~&~'220.00'~&~	~&~'40.00'~&~	~&~'15.00'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AL6785004'~&~	~&~'CR'~&~	~&~'13EDF610138D4072E043814FD8814072'~&~	~&~'1'~&~	~&~'100.00'~&~	~&~NULL~&~	~&~'220.00'~&~	~&~'40.00'~&~	~&~'15.00'~&~	~&~NULL~&~	~&~'1.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AL6952104'~&~	~&~'CD'~&~	~&~'13EDF61012FA4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'300.00'~&~	~&~'10.00'~&~	~&~'20.00'~&~	~&~NULL~&~	~&~'7.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AL6952104'~&~	~&~'CR'~&~	~&~'13EDF61012FB4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'300.00'~&~	~&~'10.00'~&~	~&~'20.00'~&~	~&~NULL~&~	~&~'7.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AL7710904'~&~	~&~'CD'~&~	~&~'13EDF610116E4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'100.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AL7710904'~&~	~&~'CR'~&~	~&~'13EDF610116F4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'100.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AM7820604'~&~	~&~'CD'~&~	~&~'13EDF6100EC94072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'10.00'~&~	~&~'5.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AM7820604'~&~	~&~'CR'~&~	~&~'13EDF6100ECA4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'10.00'~&~	~&~'5.00'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AN1215604'~&~	~&~'CD'~&~	~&~'13EDF6100EEA4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'20.00'~&~	~&~'20.00'~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'12.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN1215604'~&~	~&~'CR'~&~	~&~'13EDF6100EEB4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'20.00'~&~	~&~'20.00'~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'12.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AN4061504'~&~	~&~'CD'~&~	~&~'13EDF61011C14072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~'50.00'~&~	~&~'220.00'~&~	~&~'40.00'~&~	~&~'30.00'~&~	~&~NULL~&~	~&~'25.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN4061504'~&~	~&~'CR'~&~	~&~'13EDF61011C24072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~'50.00'~&~	~&~'220.00'~&~	~&~'40.00'~&~	~&~'30.00'~&~	~&~NULL~&~	~&~'25.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7003604'~&~	~&~'CD'~&~	~&~'13EDF61011934072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'780.00'~&~	~&~'20.00'~&~	~&~'50.00'~&~	~&~NULL~&~	~&~'11.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7003604'~&~	~&~'CR'~&~	~&~'13EDF61011944072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'780.00'~&~	~&~'20.00'~&~	~&~'50.00'~&~	~&~NULL~&~	~&~'11.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7944404'~&~	~&~'CD'~&~	~&~'13EDF6100F454072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'340.00'~&~	~&~'10.00'~&~	~&~'45.00'~&~	~&~NULL~&~	~&~'27.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AN7944404'~&~	~&~'CR'~&~	~&~'13EDF6100F464072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'340.00'~&~	~&~'10.00'~&~	~&~'45.00'~&~	~&~NULL~&~	~&~'27.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AO1099604'~&~	~&~'CD'~&~	~&~'13EDF610126E4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'40.00'~&~	~&~'10.00'~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'4.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
RECORD[~&~	~&~'AO1099604'~&~	~&~'CR'~&~	~&~'13EDF610126F4072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'40.00'~&~	~&~'10.00'~&~	~&~'5.00'~&~	~&~NULL~&~	~&~'4.00'~&~	~&~NULL~&~	~&~'R'~&~	~&~]RECORD
RECORD[~&~	~&~'AO2705604'~&~	~&~'CD'~&~	~&~'13EDF61014614072E043814FD8814072'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'10.00'~&~	~&~NULL~&~	~&~'2.00'~&~	~&~NULL~&~	~&~'X'~&~	~&~]RECORD
