HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_CONS_OBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_CONS_OBJ_NM::VARCHAR~&~	~&~FIN_CONOBJ_SHRT_NM::VARCHAR~&~	~&~FIN_CONOBJ_ACTV_CD::VARCHAR~&~	~&~FIN_REPORT_SORT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'FW'~&~	~&~'STFE'~&~	~&~'014F3DAF73CBA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'STUDENT FEES'~&~	~&~'STUDENT FEES'~&~	~&~'Y'~&~	~&~'01'~&~	~&~]RECORD
RECORD[~&~	~&~'FW'~&~	~&~'TFEX'~&~	~&~'014F3DAF73CCA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - EXPENSE'~&~	~&~'TRANSFER-EXP'~&~	~&~'N'~&~	~&~'14'~&~	~&~]RECORD
RECORD[~&~	~&~'FW'~&~	~&~'TFIN'~&~	~&~'014F3DAF73CDA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER - INCOME'~&~	~&~'TRANSFER-INC'~&~	~&~'N'~&~	~&~'06'~&~	~&~]RECORD
RECORD[~&~	~&~'FW'~&~	~&~'TRSF'~&~	~&~'014F3DAF73CEA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRANSFER OF FUNDS'~&~	~&~'TRANSFER'~&~	~&~'Y'~&~	~&~'19'~&~	~&~]RECORD
RECORD[~&~	~&~'FW'~&~	~&~'TRVL'~&~	~&~'014F3DAF73CFA448E043814FD28EA448'~&~	~&~'1'~&~	~&~'TRAVEL'~&~	~&~'TRAVEL'~&~	~&~'Y'~&~	~&~'10'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'ASEX'~&~	~&~'014F3DAF73D0A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-EXPENDITURES'~&~	~&~'ASSESS-EXP'~&~	~&~'Y'~&~	~&~'13'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'ASRE'~&~	~&~'014F3DAF73D1A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSESSMENTS-REVENUE'~&~	~&~'ASSESS-REV'~&~	~&~'Y'~&~	~&~'05'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'ASST'~&~	~&~'014F3DAF73D2A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'ASSETS'~&~	~&~'ASSETS'~&~	~&~'Y'~&~	~&~'16'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'CMPN'~&~	~&~'014F3DAF73D3A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'COMPENSATION'~&~	~&~'COMPENS'~&~	~&~'Y'~&~	~&~'07'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'CPTL'~&~	~&~'014F3DAF73D4A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'CAPITAL'~&~	~&~'CAPITAL'~&~	~&~'Y'~&~	~&~'11'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'FDBL'~&~	~&~'014F3DAF73D5A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'FUND BALANCE'~&~	~&~'FUND BAL'~&~	~&~'Y'~&~	~&~'18'~&~	~&~]RECORD
RECORD[~&~	~&~'HO'~&~	~&~'GENX'~&~	~&~'014F3DAF73D6A448E043814FD28EA448'~&~	~&~'1'~&~	~&~'GENERAL EXPENSE'~&~	~&~'GEN EXP'~&~	~&~'Y'~&~	~&~'09'~&~	~&~]RECORD
