HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~POS_BENEFIT_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~POS_FRNG_BENE_PCT::DECIMAL~&~	~&~POS_FRNGBEN_OBJ_CD::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LBR_BEN_RT_CAT_CD::VARCHAR~&~	~&~OFFSET_FIN_OBJECT_CD::VARCHAR~&~	~&~OFFSET_ACCOUNT_NBR::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'SE'~&~	~&~'R'~&~	~&~'E30870A2-8400-5750-0B47-703CBA8C7F79'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'B'~&~	~&~'F17FB6DA-4769-120C-D8F0-1C127F08C111'~&~	~&~'1'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'E'~&~	~&~'475832B6-EC5C-F374-4BC3-CE60E27EB530'~&~	~&~'1'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'F'~&~	~&~'A386B9D5-3FC5-D099-F7FA-BACC657A0AAF'~&~	~&~'1'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'G'~&~	~&~'181632FC-F131-795E-4FB5-FB66B4943AAD'~&~	~&~'1'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'N'~&~	~&~'3BDFA48D-DA00-2488-7099-E1C2FB8C9C0E'~&~	~&~'1'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'R'~&~	~&~'C09F0A4C-C9CC-28E8-F088-2A676A185CD3'~&~	~&~'1'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BA'~&~	~&~'B'~&~	~&~'7648EA60-57FF-70CA-C56A-29E349BF0CF6'~&~	~&~'2'~&~	~&~'8.8200'~&~	~&~'5773'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BA'~&~	~&~'E'~&~	~&~'C1C811CB-1092-C0BC-4E55-1310B30CBF59'~&~	~&~'2'~&~	~&~'12.1900'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BA'~&~	~&~'F'~&~	~&~'9083C208-8F93-D377-609A-5C56DC7C7C06'~&~	~&~'2'~&~	~&~'7.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BA'~&~	~&~'G'~&~	~&~'FD4A7BE3-D038-C87A-4594-5E058E3F4840'~&~	~&~'2'~&~	~&~'13.0800'~&~	~&~'5625'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BA'~&~	~&~'N'~&~	~&~'391C50C3-886B-66AC-CE7F-1B873F88D4F2'~&~	~&~'2'~&~	~&~'0.0000'~&~	~&~'5760'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BA'~&~	~&~'R'~&~	~&~'98392A6B-DEBF-BB58-FC17-BE272BCB1A94'~&~	~&~'2'~&~	~&~'18.6600'~&~	~&~'5772'~&~	~&~'Y'~&~	~&~'--'~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
