HEADER[~&~	~&~CPTLAST_NBR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ORG_CPTLAST_TYP_ID::VARCHAR~&~	~&~CPTLAST_ORGTAG_NBR::VARCHAR~&~	~&~ORG_TXT::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'34713'~&~	~&~'45086F4243B5C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'34922'~&~	~&~'45086F4243B6C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'35781'~&~	~&~'45086F4243B7C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'35782'~&~	~&~'45086F4243B8C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'35954'~&~	~&~'45086F4243B9C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'36053'~&~	~&~'45086F4243BAC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'36054'~&~	~&~'45086F4243BBC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'36055'~&~	~&~'45086F4243BCC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'36375'~&~	~&~'45086F4243BDC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'37441'~&~	~&~'45086F4243BEC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'37616'~&~	~&~'45086F4243BFC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~'IU011119'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'37742'~&~	~&~'45086F4243C0C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'38014'~&~	~&~'45086F4243C1C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'38021'~&~	~&~'45086F4243C2C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'38797'~&~	~&~'45086F4243C3C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'39218'~&~	~&~'45086F4243C4C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'40732'~&~	~&~'45086F4243C5C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'41467'~&~	~&~'45086F4243C6C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'41605'~&~	~&~'45086F4243C7C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'43355'~&~	~&~'45086F4243C8C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN HALLWAY'~&~	~&~]RECORD
RECORD[~&~	~&~'46189'~&~	~&~'45086F4243C9C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'46337'~&~	~&~'45086F4243CAC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'46452'~&~	~&~'45086F4243CBC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'46839'~&~	~&~'45086F4243CCC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'47129'~&~	~&~'45086F4243CDC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'48198'~&~	~&~'45086F4243CEC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'48477'~&~	~&~'45086F4243CFC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'48607'~&~	~&~'45086F4243D0C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'49100'~&~	~&~'45086F4243D1C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'49175'~&~	~&~'45086F4243D2C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'49643'~&~	~&~'45086F4243D3C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'50528'~&~	~&~'45086F4243D4C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'51262'~&~	~&~'45086F4243D5C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN STORAGE SPENCER, INDIANA PER DR REILLY'~&~	~&~]RECORD
RECORD[~&~	~&~'51409'~&~	~&~'45086F4243D6C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'51541'~&~	~&~'45086F4243D7C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'53175'~&~	~&~'45086F4243D8C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'54049'~&~	~&~'45086F4243D9C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'54161'~&~	~&~'45086F4243DAC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'54162'~&~	~&~'45086F4243DBC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'54268'~&~	~&~'45086F4243DCC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'54273'~&~	~&~'45086F4243DDC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55332'~&~	~&~'45086F4243DEC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'55902'~&~	~&~'45086F4243DFC1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'56287'~&~	~&~'45086F4243E0C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'57132'~&~	~&~'45086F4243E1C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~'ITEM ACTUALLY IN ROOM 103'~&~	~&~]RECORD
RECORD[~&~	~&~'57590'~&~	~&~'45086F4243E2C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'57798'~&~	~&~'45086F4243E3C1AAE043814FD881C1AA'~&~	~&~'1'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
