HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_NBR::VARCHAR~&~	~&~LBR_RPT_POSOBJ_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2012'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'624A00F4-A10E-44BE-3A1A-C2FA7896DEC8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'4E0B2101-95DD-A908-5E95-B7962759C017'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'ED5D6ED3-BB23-09ED-B51C-E4935BB8B029'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'f54727e5-1fee-4e61-87c0-04e84827a1b8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'d54dbc3e-731a-41c8-94a2-35d380fd1320'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'d0baca0a-861e-414e-aa4d-a05f2ccc05f0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'100cf827-73d6-4085-b223-25495af05d41'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'8e642c05-ae28-493f-960d-7793d4e70cfa'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'66ca56db-f50b-444a-825e-a4d3684bf305'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'c63162a9-331b-4edf-9f6f-6d4867662445'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'2bdfc291-7aa3-4eb8-b0d8-4c94f8dab5ee'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'6ea8da73-48a9-4839-822f-b812311f0358'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'da0f03f1-b9fa-4bc7-b658-3d887b365149'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'M01'~&~	~&~'PA'~&~	~&~'bb547cc6-b12c-4a90-9ddb-6094e3c1d155'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'M02'~&~	~&~'AC'~&~	~&~'afa9fb93-fd8c-4133-b1c8-39aefa7850fa'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'M02'~&~	~&~'PA'~&~	~&~'875813f3-3940-4e01-9a40-870e09eaf1ec'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'A02'~&~	~&~'AC'~&~	~&~'6587d2c8-3703-480c-999c-5e898d4e0d0f'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B01'~&~	~&~'CL'~&~	~&~'671b11e8-4fcf-4e3d-910b-ef7abf205713'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B01'~&~	~&~'HO'~&~	~&~'f9c15866-82e8-4ac3-a3ea-595e5156fbd2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B02'~&~	~&~'CL'~&~	~&~'b7ce6f0d-7a51-41be-972c-28200aff5b4e'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B02'~&~	~&~'HO'~&~	~&~'c007f5b3-3123-4915-af9a-1bd441b9dc19'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B03'~&~	~&~'CL'~&~	~&~'952454a0-e6e5-485f-a589-f14cbd7c0c41'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B03'~&~	~&~'HO'~&~	~&~'95c8e904-936e-4aeb-8aae-1c8fa930af84'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B04'~&~	~&~'CL'~&~	~&~'f32627b1-03f8-422b-ab68-c86fef9686cf'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'B04'~&~	~&~'HO'~&~	~&~'623d1745-7408-4cdb-8aa0-f44b73795b91'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'M01'~&~	~&~'AC'~&~	~&~'6c9588c6-e2c6-4c03-bf5c-02eeaf9dae1c'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
