HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~ERNCD::VARCHAR~&~	~&~PAYGROUP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2012'~&~	~&~'10'~&~	~&~'REG'~&~	~&~'S10'~&~	~&~'3669DA7D-0616-0E92-2789-57FCC5EFDDC0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'10'~&~	~&~'RGA'~&~	~&~'A10'~&~	~&~'8FD505C9-9983-BBD6-6A03-66F2C9B8D3B6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'10'~&~	~&~'RGS'~&~	~&~'AS0'~&~	~&~'9B08F4FE-AA8A-B4AF-E8EC-B2B8E1D14BBA'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'12'~&~	~&~'REG'~&~	~&~'S12'~&~	~&~'6A65098C-9052-B743-4D41-9ECEE5C10CB1'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'12'~&~	~&~'RGA'~&~	~&~'A12'~&~	~&~'7BE4585E-1395-0F50-138E-5444DD7DA46A'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'12'~&~	~&~'RGR'~&~	~&~'RES'~&~	~&~'B484C001-CF23-557C-F6FA-E193DAAE4671'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'12'~&~	~&~'RGS'~&~	~&~'AS2'~&~	~&~'A90B268A-781B-DB11-C37B-36DD9C568054'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'OCC'~&~	~&~'HRX'~&~	~&~'9867F194-6E2F-DB03-9CE2-F507958391D4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RAO'~&~	~&~'AOE'~&~	~&~'54E3F98A-DF2F-411C-A0B5-BB31CC8B65C6'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RGA'~&~	~&~'SUM'~&~	~&~'A75A036A-BBE7-9183-F894-0AE165B668A3'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRA'~&~	~&~'4B4939A8-E399-4C98-A0EE-A64EB9A961F2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRR'~&~	~&~'831D2090-26B0-E92B-5A53-48394A0BC5C5'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
