HEADER[~&~	~&~ROLE_PERM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROLE_ID::VARCHAR~&~	~&~PERM_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'KFS126'~&~	~&~'KFS126'~&~	~&~'1'~&~	~&~'54'~&~	~&~'95'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS127'~&~	~&~'KFS127'~&~	~&~'1'~&~	~&~'32'~&~	~&~'96'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS128'~&~	~&~'KFS128'~&~	~&~'1'~&~	~&~'54'~&~	~&~'96'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS129'~&~	~&~'KFS129'~&~	~&~'1'~&~	~&~'22'~&~	~&~'97'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS130'~&~	~&~'KFS130'~&~	~&~'1'~&~	~&~'32'~&~	~&~'98'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS131'~&~	~&~'KFS131'~&~	~&~'1'~&~	~&~'54'~&~	~&~'98'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS132'~&~	~&~'KFS132'~&~	~&~'1'~&~	~&~'62'~&~	~&~'99'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS133'~&~	~&~'KFS133'~&~	~&~'1'~&~	~&~'32'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS134'~&~	~&~'KFS134'~&~	~&~'1'~&~	~&~'54'~&~	~&~'100'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS136'~&~	~&~'KFS136'~&~	~&~'1'~&~	~&~'26'~&~	~&~'101'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS137'~&~	~&~'KFS137'~&~	~&~'1'~&~	~&~'22'~&~	~&~'102'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS138'~&~	~&~'KFS138'~&~	~&~'1'~&~	~&~'32'~&~	~&~'103'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS139'~&~	~&~'KFS139'~&~	~&~'1'~&~	~&~'54'~&~	~&~'103'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS143'~&~	~&~'KFS143'~&~	~&~'1'~&~	~&~'16'~&~	~&~'107'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS144'~&~	~&~'KFS144'~&~	~&~'1'~&~	~&~'95'~&~	~&~'108'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS15'~&~	~&~'KFS15'~&~	~&~'1'~&~	~&~'35'~&~	~&~'15'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS151'~&~	~&~'KFS151'~&~	~&~'1'~&~	~&~'55'~&~	~&~'113'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS152'~&~	~&~'KFS152'~&~	~&~'1'~&~	~&~'44'~&~	~&~'114'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS153'~&~	~&~'KFS153'~&~	~&~'1'~&~	~&~'54'~&~	~&~'115'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS154'~&~	~&~'KFS154'~&~	~&~'1'~&~	~&~'44'~&~	~&~'116'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS155'~&~	~&~'KFS155'~&~	~&~'1'~&~	~&~'45'~&~	~&~'117'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS157'~&~	~&~'KFS157'~&~	~&~'1'~&~	~&~'44'~&~	~&~'119'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS158'~&~	~&~'KFS158'~&~	~&~'1'~&~	~&~'44'~&~	~&~'120'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS159'~&~	~&~'KFS159'~&~	~&~'1'~&~	~&~'44'~&~	~&~'121'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS16'~&~	~&~'KFS16'~&~	~&~'1'~&~	~&~'35'~&~	~&~'16'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS160'~&~	~&~'KFS160'~&~	~&~'1'~&~	~&~'54'~&~	~&~'122'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS167'~&~	~&~'KFS167'~&~	~&~'1'~&~	~&~'45'~&~	~&~'128'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS168'~&~	~&~'KFS168'~&~	~&~'1'~&~	~&~'32'~&~	~&~'129'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS169'~&~	~&~'KFS169'~&~	~&~'1'~&~	~&~'54'~&~	~&~'129'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS17'~&~	~&~'KFS17'~&~	~&~'1'~&~	~&~'5'~&~	~&~'17'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS170'~&~	~&~'KFS170'~&~	~&~'1'~&~	~&~'32'~&~	~&~'130'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS171'~&~	~&~'KFS171'~&~	~&~'1'~&~	~&~'54'~&~	~&~'130'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS172'~&~	~&~'KFS172'~&~	~&~'1'~&~	~&~'44'~&~	~&~'131'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS173'~&~	~&~'KFS173'~&~	~&~'1'~&~	~&~'45'~&~	~&~'132'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS174'~&~	~&~'KFS174'~&~	~&~'1'~&~	~&~'54'~&~	~&~'133'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS175'~&~	~&~'KFS175'~&~	~&~'1'~&~	~&~'61'~&~	~&~'133'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS176'~&~	~&~'KFS176'~&~	~&~'1'~&~	~&~'44'~&~	~&~'134'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS177'~&~	~&~'KFS177'~&~	~&~'1'~&~	~&~'32'~&~	~&~'136'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS178'~&~	~&~'KFS178'~&~	~&~'1'~&~	~&~'54'~&~	~&~'136'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS179'~&~	~&~'KFS179'~&~	~&~'1'~&~	~&~'49'~&~	~&~'137'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS18'~&~	~&~'KFS18'~&~	~&~'1'~&~	~&~'6'~&~	~&~'18'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS180'~&~	~&~'KFS180'~&~	~&~'1'~&~	~&~'49'~&~	~&~'138'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS182'~&~	~&~'KFS182'~&~	~&~'1'~&~	~&~'26'~&~	~&~'139'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS19'~&~	~&~'KFS19'~&~	~&~'1'~&~	~&~'6'~&~	~&~'19'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS192'~&~	~&~'KFS192'~&~	~&~'1'~&~	~&~'55'~&~	~&~'148'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS20'~&~	~&~'KFS20'~&~	~&~'1'~&~	~&~'35'~&~	~&~'20'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS209'~&~	~&~'KFS209'~&~	~&~'1'~&~	~&~'44'~&~	~&~'163'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS21'~&~	~&~'KFS21'~&~	~&~'1'~&~	~&~'5'~&~	~&~'21'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS214'~&~	~&~'KFS214'~&~	~&~'1'~&~	~&~'66'~&~	~&~'169'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS215'~&~	~&~'KFS215'~&~	~&~'1'~&~	~&~'62'~&~	~&~'169'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS22'~&~	~&~'KFS22'~&~	~&~'1'~&~	~&~'35'~&~	~&~'22'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS23'~&~	~&~'KFS23'~&~	~&~'1'~&~	~&~'46'~&~	~&~'23'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS230'~&~	~&~'KFS230'~&~	~&~'1'~&~	~&~'44'~&~	~&~'183'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS232'~&~	~&~'KFS232'~&~	~&~'1'~&~	~&~'26'~&~	~&~'184'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS233'~&~	~&~'KFS233'~&~	~&~'1'~&~	~&~'11'~&~	~&~'185'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS235'~&~	~&~'KFS235'~&~	~&~'1'~&~	~&~'49'~&~	~&~'187'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS236'~&~	~&~'KFS236'~&~	~&~'1'~&~	~&~'19'~&~	~&~'87'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS237'~&~	~&~'KFS237'~&~	~&~'1'~&~	~&~'41'~&~	~&~'188'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS238'~&~	~&~'KFS238'~&~	~&~'1'~&~	~&~'41'~&~	~&~'200'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS239'~&~	~&~'KFS239'~&~	~&~'1'~&~	~&~'13'~&~	~&~'189'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS24'~&~	~&~'KFS24'~&~	~&~'1'~&~	~&~'35'~&~	~&~'24'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS240'~&~	~&~'KFS240'~&~	~&~'1'~&~	~&~'41'~&~	~&~'190'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS241'~&~	~&~'KFS241'~&~	~&~'1'~&~	~&~'41'~&~	~&~'191'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS242'~&~	~&~'KFS242'~&~	~&~'1'~&~	~&~'66'~&~	~&~'192'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS243'~&~	~&~'KFS243'~&~	~&~'1'~&~	~&~'66'~&~	~&~'193'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS244'~&~	~&~'KFS244'~&~	~&~'1'~&~	~&~'66'~&~	~&~'194'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS245'~&~	~&~'KFS245'~&~	~&~'1'~&~	~&~'66'~&~	~&~'195'~&~	~&~'Y'~&~	~&~]RECORD
