HEADER[~&~	~&~PERM_TMPL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~NMSPC_CD::VARCHAR~&~	~&~NM::VARCHAR~&~	~&~DESC_TXT::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'35'~&~	~&~'5ADF18B6D4FC7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-IDM'~&~	~&~'Assign Role'~&~	~&~NULL~&~	~&~'18'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'36'~&~	~&~'5ADF18B6D5007954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-IDM'~&~	~&~'Grant Permission'~&~	~&~NULL~&~	~&~'19'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'37'~&~	~&~'5ADF18B6D5047954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-IDM'~&~	~&~'Grant Responsibility'~&~	~&~NULL~&~	~&~'20'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'38'~&~	~&~'5ADF18B6D5087954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-IDM'~&~	~&~'Populate Group'~&~	~&~NULL~&~	~&~'21'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'4'~&~	~&~'5ADF18B6D4B17954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-WKFLW'~&~	~&~'Blanket Approve Document'~&~	~&~NULL~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'40'~&~	~&~'5ADF18B6D4AE7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Open Document'~&~	~&~NULL~&~	~&~'3'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'41'~&~	~&~'41'~&~	~&~'1'~&~	~&~'KFS-SYS'~&~	~&~'Modify Accounting Lines'~&~	~&~NULL~&~	~&~'52'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'42'~&~	~&~'603B735FA6C4FE21E0404F8189D8083B'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Create / Maintain Record(s)'~&~	~&~NULL~&~	~&~'56'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'43'~&~	~&~'603B735FA6C0FE21E0404F8189D8083B'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'View Inquiry or Maintenance Document Section'~&~	~&~NULL~&~	~&~'57'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'44'~&~	~&~'603B735FA6C1FE21E0404F8189D8083B'~&~	~&~'1'~&~	~&~'KR-NS'~&~	~&~'Modify Maintenance Document Section'~&~	~&~NULL~&~	~&~'57'~&~	~&~'Y'~&~	~&~]RECORD
