HEADER[~&~	~&~KIM_TYP_ATTR_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~SORT_CD::VARCHAR~&~	~&~KIM_TYP_ID::VARCHAR~&~	~&~KIM_ATTR_DEFN_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'118'~&~	~&~'B7DBFABEFD448CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'c'~&~	~&~'70'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'119'~&~	~&~'B7DBFABEFD458CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'71'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'12'~&~	~&~'5ADF18B6D4CE7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'9'~&~	~&~'13'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'120'~&~	~&~'B7DBFABEFD468CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'b'~&~	~&~'71'~&~	~&~'51'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'121'~&~	~&~'B7DBFABEFD478CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'c'~&~	~&~'71'~&~	~&~'50'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'122'~&~	~&~'B7DBFABEFD488CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'72'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'123'~&~	~&~'B7DBFABEFD498CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'b'~&~	~&~'72'~&~	~&~'52'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'124'~&~	~&~'B7DBFABEFD4A8CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'73'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'125'~&~	~&~'B7DBFABEFD4B8CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'b'~&~	~&~'73'~&~	~&~'53'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'126'~&~	~&~'B7DBFABEFD4C8CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'c'~&~	~&~'73'~&~	~&~'48'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'127'~&~	~&~'B7DBFABEFD4D8CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'74'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'128'~&~	~&~'B7DBFABEFD4E8CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'b'~&~	~&~'74'~&~	~&~'51'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'129'~&~	~&~'B7DBFABEFD4F8CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'c'~&~	~&~'74'~&~	~&~'49'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'130'~&~	~&~'B7DBFABEFD508CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'d'~&~	~&~'74'~&~	~&~'50'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'131'~&~	~&~'B7DBFABEFD518CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'e'~&~	~&~'74'~&~	~&~'6'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'132'~&~	~&~'B7DBFABEFD528CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'a'~&~	~&~'75'~&~	~&~'47'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'133'~&~	~&~'B7DBFABEFD538CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'b'~&~	~&~'75'~&~	~&~'51'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'134'~&~	~&~'B7DBFABEFD548CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'c'~&~	~&~'75'~&~	~&~'49'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'135'~&~	~&~'B7DBFABEFD558CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'d'~&~	~&~'75'~&~	~&~'53'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'136'~&~	~&~'B7DBFABEFD568CBFE0402E0AA9D757C9'~&~	~&~'1'~&~	~&~'e'~&~	~&~'75'~&~	~&~'48'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'137'~&~	~&~'BC5444677C23328CE0402E0AA9D77D80'~&~	~&~'1'~&~	~&~'a'~&~	~&~'8'~&~	~&~'54'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'138'~&~	~&~'69FA55ACC2EE2598E0404F8189D86880'~&~	~&~'1'~&~	~&~'e'~&~	~&~'7'~&~	~&~'46'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'14'~&~	~&~'5ADF18B6D4D07954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'9'~&~	~&~'9'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'15'~&~	~&~'5ADF18B6D4D87954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'10'~&~	~&~'4'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'16'~&~	~&~'5ADF18B6D4D97954E0404F8189D85002'~&~	~&~'1'~&~	~&~'b'~&~	~&~'10'~&~	~&~'5'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'17'~&~	~&~'5ADF18B6D4DD7954E0404F8189D85002'~&~	~&~'1'~&~	~&~'a'~&~	~&~'11'~&~	~&~'5'~&~	~&~'Y'~&~	~&~]RECORD
