HEADER[~&~	~&~CG_PRPSL_CLOSE_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CG_LAST_CLOSED_DT::TIMESTAMP~&~	~&~CGAWD_CLOSED_CNT::DECIMAL~&~	~&~CGPRPSL_CLOSED_CNT::DECIMAL~&~	~&~PERSON_USER_ID::VARCHAR~&~	~&~CG_USR_INITIATE_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'32'~&~	~&~'237D10FAABCBC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199812310000000000'~&~	~&~'109'~&~	~&~'199'~&~	~&~'SPOLLARD'~&~	~&~'199801200000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'33'~&~	~&~'237D10FAABCCC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199801310000000000'~&~	~&~'147'~&~	~&~'250'~&~	~&~'SPOLLARD'~&~	~&~'199802130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'34'~&~	~&~'237D10FAABCDC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199802280000000000'~&~	~&~'147'~&~	~&~'239'~&~	~&~'EWORKMAN'~&~	~&~'199803170000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'35'~&~	~&~'237D10FAABCEC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199803310000000000'~&~	~&~'132'~&~	~&~'240'~&~	~&~'SPOLLARD'~&~	~&~'199804150000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'36'~&~	~&~'237D10FAABCFC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199804300000000000'~&~	~&~'126'~&~	~&~'232'~&~	~&~'SPOLLARD'~&~	~&~'199805150000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'37'~&~	~&~'237D10FAABD0C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199805310000000000'~&~	~&~'125'~&~	~&~'272'~&~	~&~'SPOLLARD'~&~	~&~'199806180000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'38'~&~	~&~'237D10FAABD1C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199806300000000000'~&~	~&~'136'~&~	~&~'254'~&~	~&~'SPOLLARD'~&~	~&~'199807210000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'39'~&~	~&~'237D10FAABD2C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199807310000000000'~&~	~&~'297'~&~	~&~'232'~&~	~&~'SPOLLARD'~&~	~&~'199808140000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'4'~&~	~&~'237D10FAABAFC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199510310000000000'~&~	~&~'147'~&~	~&~'267'~&~	~&~'SPOLLARD'~&~	~&~'199511170000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'40'~&~	~&~'237D10FAABD3C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199808310000000000'~&~	~&~'168'~&~	~&~'184'~&~	~&~'SPOLLARD'~&~	~&~'199809180000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'41'~&~	~&~'237D10FAABD4C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199809300000000000'~&~	~&~'240'~&~	~&~'260'~&~	~&~'SPOLLARD'~&~	~&~'199810210000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'42'~&~	~&~'237D10FAABD5C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199810310000000000'~&~	~&~'146'~&~	~&~'261'~&~	~&~'SPOLLARD'~&~	~&~'199811170000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'43'~&~	~&~'237D10FAABD6C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199811300000000000'~&~	~&~'110'~&~	~&~'269'~&~	~&~'SPOLLARD'~&~	~&~'199812160000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'44'~&~	~&~'237D10FAABD7C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199912310000000000'~&~	~&~'87'~&~	~&~'167'~&~	~&~'SPOLLARD'~&~	~&~'199901200000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'45'~&~	~&~'237D10FAABD8C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199901310000000000'~&~	~&~'144'~&~	~&~'252'~&~	~&~'SPOLLARD'~&~	~&~'199902160000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'46'~&~	~&~'237D10FAABD9C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199902280000000000'~&~	~&~'123'~&~	~&~'251'~&~	~&~'SPOLLARD'~&~	~&~'199903170000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'47'~&~	~&~'237D10FAABDAC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199903310000000000'~&~	~&~'156'~&~	~&~'265'~&~	~&~'SPOLLARD'~&~	~&~'199904160000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'48'~&~	~&~'237D10FAABDBC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199904300000000000'~&~	~&~'118'~&~	~&~'283'~&~	~&~'SPOLLARD'~&~	~&~'199905170000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'49'~&~	~&~'237D10FAABDCC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199905310000000000'~&~	~&~'139'~&~	~&~'316'~&~	~&~'SPOLLARD'~&~	~&~'199906160000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'5'~&~	~&~'237D10FAABB0C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199511300000000000'~&~	~&~'95'~&~	~&~'190'~&~	~&~'SPOLLARD'~&~	~&~'199512110000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'50'~&~	~&~'237D10FAABDDC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199906300000000000'~&~	~&~'184'~&~	~&~'283'~&~	~&~'SPOLLARD'~&~	~&~'199907260000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'51'~&~	~&~'237D10FAABDEC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199907310000000000'~&~	~&~'297'~&~	~&~'202'~&~	~&~'SPOLLARD'~&~	~&~'199908200000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'52'~&~	~&~'237D10FAABDFC0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199908310000000000'~&~	~&~'184'~&~	~&~'194'~&~	~&~'SPOLLARD'~&~	~&~'199909210000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'53'~&~	~&~'237D10FAABE0C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199909300000000000'~&~	~&~'195'~&~	~&~'280'~&~	~&~'SPOLLARD'~&~	~&~'199911040000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'54'~&~	~&~'237D10FAABE1C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199910310000000000'~&~	~&~'191'~&~	~&~'301'~&~	~&~'SPOLLARD'~&~	~&~'199911220000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'55'~&~	~&~'237D10FAABE2C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199911300000000000'~&~	~&~'106'~&~	~&~'306'~&~	~&~'SPOLLARD'~&~	~&~'199912130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'56'~&~	~&~'237D10FAABE3C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200012310000000000'~&~	~&~'121'~&~	~&~'197'~&~	~&~'SPOLLARD'~&~	~&~'200001130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'57'~&~	~&~'237D10FAABE4C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200001310000000000'~&~	~&~'170'~&~	~&~'252'~&~	~&~'SPOLLARD'~&~	~&~'200002210000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'58'~&~	~&~'237D10FAABE5C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200002290000000000'~&~	~&~'150'~&~	~&~'285'~&~	~&~'SPOLLARD'~&~	~&~'200003150000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'59'~&~	~&~'237D10FAABE6C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200003310000000000'~&~	~&~'153'~&~	~&~'279'~&~	~&~'SPOLLARD'~&~	~&~'200004130000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'6'~&~	~&~'237D10FAABB1C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'199612310000000000'~&~	~&~'94'~&~	~&~'254'~&~	~&~'DMCDEVIT'~&~	~&~'199601150000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'60'~&~	~&~'237D10FAABE7C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200004300000000000'~&~	~&~'165'~&~	~&~'245'~&~	~&~'SPOLLARD'~&~	~&~'200005170000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'61'~&~	~&~'237D10FAABE8C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200005310000000000'~&~	~&~'159'~&~	~&~'261'~&~	~&~'SPOLLARD'~&~	~&~'200006160000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'62'~&~	~&~'237D10FAABE9C0B0E043814FD881C0B0'~&~	~&~'1'~&~	~&~'200005310000000000'~&~	~&~'159'~&~	~&~'0'~&~	~&~'SPOLLARD'~&~	~&~'200006190000000000'~&~	~&~]RECORD
